osm_id,name,city,state,lat,lon
549438339,,,,-28.2449477,-52.3929122
549457212,,,,-5.925776,-35.2661667
549545259,,,,2.8325339,-60.6856499
549572563,Skate Park,,,2.8385252,-60.6819573
549646169,,,,-29.3729144,-51.1194267
549922291,Pista de Skate PDA,,,-22.4624576,-44.4576368
550003290,,,,-25.465333,-50.635865
550174553,,,,-22.4660271,-43.8270259
550299274,,,,-18.7622136,-44.4302829
550348595,,,,-23.3839163,-46.4470004
550350256,,,,-29.1912281,-51.2340224
550932889,,,,-15.8831718,-48.0155165
550951986,,,,-23.7639388,-46.696508
550951987,,,,-23.764442,-46.6967166
551094988,,,,-22.3448526,-49.0857601
551339830,,,,-7.9312016,-34.8571118
551381955,,,,-7.9312718,-34.8569545
551742672,,,,-16.6458707,-49.3311887
551996123,,,,-22.110195,-50.1736811
552077288,,,,-23.2233017,-45.9106404
552168986,,,,-29.1698702,-51.5190344
552208269,,,,-16.055648,-47.9735253
553323898,Pista de Skate Linha Verde,,,-19.3762729,-40.0574387
553377153,,,,-26.9019706,-48.6528109
553548368,,,,-22.9624596,-45.4878476
553841531,,,,-22.7113366,-43.5677021
553878414,,,,-22.6415036,-43.281486
554098837,,,,-20.8866077,-47.5749103
554291607,Pista de Skate Thiers Melquiades Elias,,,-27.6829453,-48.7579428
554296549,,,,-22.2519647,-45.7079952
554370535,,,,-15.8726097,-48.1083325
554743985,,,,-1.1950788,-47.1727037
554743987,,,,-1.1951446,-47.1727201
554850372,,,,-26.9008494,-49.0465534
554941830,,,,-31.1064106,-50.9222846
555007257,,,,-23.21054,-45.810564
555570515,,,,-22.3039578,-42.5418192
555756488,,,,-22.9111477,-43.6221452
555890837,,,,-23.6774331,-46.1824141
555906227,,,,-29.9431845,-51.0784257
555906236,,,,-29.9405029,-51.08413
555964990,,,,-25.214433,-50.9817442
555985575,,,,-29.6868824,-53.8594167
556015242,,,,-22.3191459,-42.5464168
556110695,,,,-23.876637,-48.0024686
556252901,,,,-21.5758423,-45.412365
556291949,,,,-31.3288635,-54.1140963
556381283,,,,-23.1725353,-45.796837
556613393,,,,-21.1289873,-42.9496748
556864967,,,,-31.3251061,-54.1056131
557189428,skate parque,,,-15.9049666,-48.0752371
557617138,Pista de skate,,,-20.0869133,-44.5768371
557708846,,,,-19.9528766,-43.9268967
557829812,,,,-24.0013436,-46.4118821
558024159,Skate,,,-20.0335135,-45.5378706
558115202,,,,-26.3218307,-48.8041703
558315571,,,,-15.3109187,-49.6058345
558317872,,,,-7.2271151,-35.8776037
558395302,,,,-22.7448636,-47.3216731
558876836,,,,-3.7435495,-38.537052
558951464,Pista de Skate de Apodi,,,-5.6652287,-37.8005463
559251135,,,,-23.1686463,-45.9116632
559258355,,,,-23.1529792,-45.8988956
559261408,,,,-22.8662333,-47.1541162
559330509,,,,-20.591477,-47.8532371
559764070,,,,-23.1114709,-45.7087759
561548128,,,,-25.7993554,-52.0979439
563440226,Pista de Skate,,,-22.910646,-47.0236041
565144340,,,,-29.1402667,-51.5196518
565218107,,,,-29.9122183,-51.2158929
565574988,Pista de Skate Iracema de Souza,,,-20.4442569,-40.3507829
566617304,,,,-27.6786781,-48.6654302
568384548,,,,-12.941227,-38.4054998
568604011,,,,-27.2447594,-48.6370239
569410528,"Pista de Skate Dayvid Afonso Thibério - ""Mutante""",,,-23.9616138,-47.5036239
569724955,,,,-29.4496066,-51.9553839
575372892,,,,-26.434321,-49.2432735
575560920,,,,-26.5990783,-48.9905496
575687727,,,,-21.9283858,-47.3715279
578675898,,,,-23.6604823,-52.5948833
579038329,,,,-21.7027526,-45.246225
579058009,,,,-25.3080749,-49.2954517
580987422,,,,-8.0342237,-34.9509472
581462004,,,,-7.9983151,-35.0328971
581708334,,,,-8.140559,-34.9037025
583397793,Pista de Skate,,,-28.938795,-49.4812816
583558926,Pista Vítor Santos Gontijo Amorim,,,-20.2868161,-45.5439134
584050678,,,,-31.7681854,-52.3222045
584321642,Half Pipe,,,-21.2070735,-41.8908578
584440155,,,,-23.4744395,-47.7353707
584488140,,,,-23.3101322,-46.2305261
585488918,,,,-22.0888502,-54.7963204
585499497,,,,-15.8386235,-47.90397
587766905,,,,-27.5777989,-48.6683972
587794558,,,,-22.3408716,-49.059
588084695,,,,-12.9691673,-38.4320403
590209801,,,,-20.3553482,-40.3559133
591026867,,,,-3.2233113,-52.2270294
591044602,,,,-3.8920096,-38.4511019
591058826,,,,-23.0773494,-52.4573368
591295571,,,,-23.7683697,-46.7169525
591420878,Skate Park,,,-3.0687769,-60.0953175
591853931,,,,-26.7386697,-49.2754579
592185722,,,,-12.8656729,-38.4760509
